,gene_id,chr,start,end,padj_OW_4DPA,padj_CW_4DPA,padj_C2W_4DPA,padj_OW_8DPA,padj_CW_8DPA,padj_C2W_8DPA
211,TraesCS5A02G056700,chr5A,52854594,52859253,8.28E-06,2.67E-06,1.14E-06,0.000441706,8.86E-05,7.93E-05
212,TraesCS5A02G057500,chr5A,55024094,55028424,5.92E-06,1.36E-05,3.55E-06,0.001635466,5.80E-05,0.001938888
213,TraesCS5A02G058000,chr5A,55654680,55660812,1.18E-10,2.93E-11,4.37E-08,4.72E-14,3.46E-12,1.03E-15
214,TraesCS5A02G058100,chr5A,56308733,56319692,1.23E-17,2.09E-20,2.13E-21,7.27E-11,1.22E-08,1.79E-09
215,TraesCS5A02G058300,chr5A,56837600,56839273,7.07E-40,2.50E-41,2.50E-45,6.42E-17,6.87E-16,1.03E-18
216,TraesCS5A02G058400,chr5A,57362394,57367264,1.06E-08,2.59E-09,2.40E-10,1.03E-09,3.55E-10,6.79E-09
217,TraesCS5A02G058500,chr5A,57367522,57373677,2.03E-05,1.49E-05,3.70E-06,1.36E-10,8.12E-08,2.60E-11
218,TraesCS5A02G058600,chr5A,57374792,57378712,6.81E-29,3.20E-31,8.60E-28,4.01E-08,2.56E-08,2.17E-07
219,TraesCS5A02G058700,chr5A,57562924,57564218,1.88E-10,1.65E-11,9.56E-11,NA,NA,NA
220,TraesCS5A02G058800,chr5A,59138161,59139098,1.26E-07,6.90E-07,7.34E-07,0.000146492,2.49E-05,8.35E-06
221,TraesCS5A02G058900,chr5A,59139549,59140392,3.40E-07,2.14E-07,3.27E-07,NA,NA,NA
222,TraesCS5A02G059000,chr5A,59565139,59565633,0.004634465,0.004440253,0.00053482,NA,NA,NA
223,TraesCS5A02G059100,chr5A,59596110,59599296,2.03E-08,1.87E-08,1.59E-08,4.99E-07,4.83E-08,4.51E-08
224,TraesCS5A02G059200,chr5A,59617192,59618315,0.000805741,0.001767615,0.000531178,NA,NA,NA
225,TraesCS5A02G059300,chr5A,59618615,59623534,2.12E-09,1.53E-10,1.59E-10,3.81E-12,1.61E-09,4.91E-12
226,TraesCS5A02G059400,chr5A,59642531,59647233,4.01E-07,3.43E-07,6.77E-08,3.53E-07,9.69E-07,1.17E-07
227,TraesCS5A02G059500,chr5A,59700162,59706809,1.42E-11,1.59E-11,1.28E-11,1.59E-07,5.71E-08,5.28E-08
228,TraesCS5A02G059600,chr5A,59706990,59711977,2.37E-27,9.53E-25,5.58E-22,1.31E-11,1.00E-13,3.48E-11
229,TraesCS5A02G059800,chr5A,60107640,60111114,6.53E-05,6.09E-05,0.000119288,0.000497897,5.38E-05,8.00E-05
230,TraesCS5A02G059900,chr5A,60112020,60118548,1.85E-09,4.14E-11,1.29E-11,1.23E-05,6.12E-06,9.02E-06
231,TraesCS5A02G060000,chr5A,60125894,60132591,1.90E-05,0.000169956,0.00031469,1.81E-07,4.01E-07,1.38E-06
232,TraesCS5A02G060300,chr5A,60526352,60529809,3.20E-06,1.53E-06,1.02E-06,6.37E-08,6.83E-07,7.16E-08
233,TraesCS5A02G060400,chr5A,63372641,63381464,1.05E-09,6.39E-10,4.92E-11,1.36E-12,4.77E-12,5.25E-14
234,TraesCS5A02G060600,chr5A,64365832,64371057,3.25E-13,4.60E-13,1.11E-13,4.57E-09,1.99E-09,8.83E-10
235,TraesCS5A02G060700,chr5A,64374126,64380616,7.45E-07,3.27E-07,5.73E-08,0.001010809,7.95E-05,9.04E-05
236,TraesCS5A02G060800,chr5A,64381188,64389519,2.84E-12,5.08E-13,1.09E-13,4.70E-30,5.41E-24,4.85E-28
237,TraesCS5A02G060900,chr5A,64411190,64415186,5.84E-06,4.23E-06,2.15E-06,3.88E-05,3.18E-06,7.38E-06
238,TraesCS5A02G061000,chr5A,64655076,64657820,1.54E-17,1.57E-17,1.18E-19,1.90E-07,3.37E-08,7.17E-08
239,TraesCS5A02G061100,chr5A,64754568,64760459,0.000530399,0.000155935,5.82E-05,0.000679033,0.000914038,0.000230264
240,TraesCS5A02G062000,chr5A,66089619,66092191,5.56E-06,4.11E-06,8.36E-07,1.07E-07,1.27E-07,7.36E-08
241,TraesCS5A02G062300,chr5A,67319042,67322733,2.35E-09,1.50E-09,6.66E-10,2.00E-09,3.25E-09,8.51E-10
242,TraesCS5A02G062400,chr5A,67327050,67328303,6.45E-08,4.12E-08,1.62E-07,NA,NA,NA
243,TraesCS5A02G062500,chr5A,67468002,67470450,5.75E-06,5.37E-06,4.22E-05,0.000187085,2.11E-05,9.48E-05
244,TraesCS5A02G062600,chr5A,67470715,67478242,3.99E-05,0.000232939,4.23E-05,0.000252945,0.000258054,5.37E-05
245,TraesCS5A02G062900,chr5A,68545022,68550262,0.00049353,0.000512573,0.000163374,NA,NA,NA
246,TraesCS5A02G063200,chr5A,68616951,68622773,6.54E-11,1.32E-11,4.82E-12,1.47E-08,4.05E-08,2.81E-09
247,TraesCS5A02G063300,chr5A,68811848,68831298,1.16E-11,1.66E-16,1.23E-14,7.89E-13,1.68E-07,3.62E-11
248,TraesCS5A02G063400,chr5A,68931381,68937234,4.68E-06,3.19E-06,1.90E-06,5.39E-07,2.49E-07,1.71E-07
249,TraesCS5A02G063800,chr5A,69101385,69104104,3.42E-06,1.19E-06,1.02E-06,3.38E-06,3.35E-06,2.67E-06
250,TraesCS5A02G063900,chr5A,69140531,69142371,0.006100683,0.00058128,0.004571521,NA,NA,NA
251,TraesCS5A02G064300,chr5A,69795527,69798203,4.48E-05,4.74E-05,3.45E-06,0.000114639,1.97E-06,1.95E-05
252,TraesCS5A02G064400,chr5A,69842212,69848425,9.56E-11,2.53E-12,1.05E-11,7.46E-07,6.03E-07,5.55E-08
253,TraesCS5A02G064900,chr5A,70454142,70454560,4.45E-14,3.83E-17,1.84E-18,6.17E-12,2.69E-11,1.23E-12
254,TraesCS5A02G065300,chr5A,70489613,70498580,6.95E-11,1.80E-09,2.55E-14,5.40E-05,4.17E-05,1.51E-07
255,TraesCS5A02G065600,chr5A,71456132,71458111,0.000170484,0.000235228,0.001514515,NA,NA,NA
256,TraesCS5A02G065700,chr5A,71459225,71462765,0.000911399,0.009140096,0.000421752,NA,NA,NA
257,TraesCS5A02G066300,chr5A,73833710,73837490,8.31E-05,0.000113848,3.60E-05,9.26E-08,2.84E-07,5.65E-07
258,TraesCS5A02G066400,chr5A,74105930,74110771,0.000471817,0.002299118,8.32E-05,NA,NA,NA
259,TraesCS5A02G066500,chr5A,74477882,74480620,1.60E-06,4.35E-08,9.79E-08,2.59E-06,1.40E-05,1.92E-06
260,TraesCS5A02G067200,chr5A,74730564,74733494,0.005489941,0.001358141,0.00046976,0.001048657,0.000313583,0.000302176
261,TraesCS5A02G067300,chr5A,74738338,74752303,8.56E-11,1.69E-11,4.23E-11,4.67E-07,2.99E-07,2.56E-07
262,TraesCS5A02G067500,chr5A,74939695,74944671,2.73E-15,2.68E-15,9.36E-16,1.24E-09,2.12E-10,1.80E-10
263,TraesCS5A02G067800,chr5A,75338349,75340336,2.53E-05,4.27E-05,1.91E-05,0.000258866,0.00021553,3.51E-05
264,TraesCS5A02G068100,chr5A,76491008,76493015,4.98E-06,8.15E-06,3.51E-06,1.06E-05,3.64E-05,4.39E-05
265,TraesCS5A02G068500,chr5A,76907693,76910544,4.26E-06,1.46E-06,4.29E-07,1.95E-05,1.67E-05,9.42E-06
266,TraesCS5A02G068600,chr5A,76955678,76957872,0.00024221,9.41E-05,7.26E-05,NA,NA,NA
267,TraesCS5A02G068700,chr5A,77084984,77090292,5.62E-14,5.07E-14,2.37E-14,4.65E-09,2.91E-09,3.13E-09
268,TraesCS5A02G068800,chr5A,77091854,77095931,1.90E-05,6.86E-05,5.92E-06,4.76E-07,4.17E-07,1.21E-07
269,TraesCS5A02G068900,chr5A,77323503,77327647,2.34E-08,2.29E-08,2.28E-07,NA,NA,NA
270,TraesCS5A02G069000,chr5A,77365858,77367087,2.88E-17,3.83E-17,9.15E-17,2.22E-09,8.15E-09,8.82E-10
271,TraesCS5A02G069200,chr5A,77789906,77791743,0.007498689,0.002712519,0.000125562,NA,NA,NA
272,TraesCS5A02G069400,chr5A,78144073,78156152,1.47E-09,6.06E-10,1.50E-09,9.79E-10,2.78E-09,6.23E-10
273,TraesCS5A02G069600,chr5A,78170172,78175468,9.10E-08,3.90E-08,2.32E-08,2.29E-06,1.88E-06,1.44E-06
274,TraesCS5A02G070500,chr5A,78961431,78969942,1.87E-13,3.51E-12,3.61E-13,1.36E-12,3.23E-13,1.08E-13
275,TraesCS5A02G070700,chr5A,79259567,79264943,2.61E-10,2.90E-10,2.57E-10,1.59E-05,1.41E-06,1.11E-05
276,TraesCS5A02G071100,chr5A,79284153,79289341,1.77E-22,3.33E-22,7.72E-23,2.32E-11,1.02E-11,2.33E-11
277,TraesCS5A02G071200,chr5A,80151012,80154228,1.42E-06,1.21E-06,1.67E-07,1.02E-06,4.79E-07,1.81E-07
278,TraesCS5A02G071400,chr5A,80159622,80167881,1.63E-06,8.20E-07,5.39E-08,8.88E-07,4.21E-06,1.49E-06
279,TraesCS5A02G071500,chr5A,81185944,81188776,4.22E-08,4.34E-08,5.41E-09,2.06E-10,2.47E-10,5.65E-11
280,TraesCS5A02G071800,chr5A,82299832,82302461,3.51E-05,6.68E-05,0.000296705,2.45E-06,1.21E-05,6.88E-06
281,TraesCS5A02G072000,chr5A,82313921,82316178,1.92E-08,4.50E-09,6.93E-09,0.001521215,2.69E-06,9.25E-05
282,TraesCS5A02G072100,chr5A,82868186,82872231,5.59E-11,4.97E-11,8.37E-11,8.52E-11,7.44E-10,1.08E-11
283,TraesCS5A02G072200,chr5A,82981999,82986301,4.48E-07,1.65E-06,2.77E-07,2.84E-05,1.52E-05,1.63E-05
284,TraesCS5A02G072300,chr5A,83276271,83279240,5.68E-06,4.13E-05,5.99E-06,7.22E-07,9.88E-06,8.02E-07
285,TraesCS5A02G072400,chr5A,83541341,83545828,0.006367941,0.001759065,0.002072073,NA,NA,NA
286,TraesCS5A02G072600,chr5A,83929944,83932346,6.24E-05,7.11E-05,5.05E-05,0.000589785,0.000468254,0.000387793
287,TraesCS5A02G072700,chr5A,84115065,84121070,3.52E-12,2.61E-11,9.48E-13,3.43E-52,1.85E-42,3.12E-46
288,TraesCS5A02G072900,chr5A,84387492,84389277,4.94E-05,0.000114173,9.13E-05,6.95E-07,1.37E-06,4.45E-07
289,TraesCS5A02G073000,chr5A,84894726,84896271,0.001411463,6.29E-05,1.93E-05,NA,NA,NA
290,TraesCS5A02G073100,chr5A,85163778,85166337,3.60E-05,7.38E-05,0.000959711,NA,NA,NA
291,TraesCS5A02G073200,chr5A,85255034,85256837,0.002199054,0.000956511,0.000875248,NA,NA,NA
292,TraesCS5A02G073600,chr5A,85819349,85860453,7.26E-07,1.45E-07,4.12E-07,NA,NA,NA
293,TraesCS5A02G073900,chr5A,86658893,86663292,4.39E-11,6.03E-11,4.23E-11,1.81E-08,5.14E-09,1.16E-08
294,TraesCS5A02G074000,chr5A,86663536,86667502,3.15E-06,1.01E-05,1.04E-07,7.85E-06,1.61E-08,5.51E-07
295,TraesCS5A02G074100,chr5A,87401012,87409255,3.14E-06,3.18E-06,7.42E-07,4.79E-06,1.48E-05,1.21E-05
296,TraesCS5A02G074200,chr5A,87416198,87417775,1.72E-12,3.19E-12,2.45E-13,1.96E-07,2.29E-08,1.25E-08
297,TraesCS5A02G074700,chr5A,87982462,87986634,0.000793948,0.000853193,0.000555113,1.71E-06,0.0001916,3.41E-06
298,TraesCS5A02G074800,chr5A,88023582,88030536,4.43E-06,9.25E-07,4.71E-07,3.11E-08,1.02E-07,1.72E-07
299,TraesCS5A02G074900,chr5A,88641053,88646924,6.15E-15,6.10E-15,7.65E-15,4.48E-11,6.57E-10,6.09E-11
300,TraesCS5A02G075300,chr5A,90218851,90222910,3.03E-07,8.59E-07,7.70E-05,1.27E-06,1.47E-06,2.33E-06
301,TraesCS5A02G075400,chr5A,90621620,90626133,1.17E-08,2.29E-08,6.69E-09,5.84E-07,9.35E-07,1.96E-07
302,TraesCS5A02G075500,chr5A,90913931,90925320,0.000399229,0.000117626,0.000596409,NA,NA,NA
303,TraesCS5A02G075900,chr5A,91118133,91129556,8.40E-09,1.30E-09,6.71E-10,1.33E-07,5.88E-07,1.02E-07
304,TraesCS5A02G076100,chr5A,91810346,91812787,0.000106123,8.71E-05,9.48E-05,NA,NA,NA
305,TraesCS5A02G076300,chr5A,92172553,92178174,6.41E-12,1.28E-11,1.92E-12,4.75E-10,8.18E-10,1.33E-10
306,TraesCS5A02G076600,chr5A,92201541,92204511,8.02E-09,7.80E-09,7.84E-09,3.19E-05,0.000116263,2.18E-05
307,TraesCS5A02G076800,chr5A,92428397,92442489,4.50E-06,1.03E-05,2.19E-06,0.000140628,0.000550035,3.02E-05
308,TraesCS5A02G076900,chr5A,92442575,92446907,1.31E-08,1.13E-08,1.13E-10,6.03E-07,1.65E-08,9.36E-07
309,TraesCS5A02G077200,chr5A,94081999,94089104,5.40E-08,3.76E-08,2.00E-08,1.59E-07,1.38E-07,9.89E-08
310,TraesCS5A02G077400,chr5A,94310801,94311280,9.43E-09,8.40E-10,1.46E-08,NA,NA,NA
311,TraesCS5A02G077600,chr5A,94741973,94742886,2.27E-41,4.41E-43,1.18E-37,8.11E-13,7.01E-14,1.16E-13
312,TraesCS5A02G077700,chr5A,94744065,94747813,2.16E-09,9.39E-10,1.25E-09,8.78E-09,9.94E-09,7.29E-09
313,TraesCS5A02G077900,chr5A,94798808,94799428,0.00116487,0.0007787,9.48E-05,0.000587849,0.000258054,0.000180101
314,TraesCS5A02G078000,chr5A,95565265,95569289,2.04E-67,7.11E-68,1.83E-74,7.72E-30,4.66E-36,1.16E-30
315,TraesCS5A02G078400,chr5A,96425153,96429953,3.52E-12,2.13E-12,8.06E-14,1.82E-10,7.25E-10,6.89E-11
316,TraesCS5A02G078900,chr5A,97563844,97565491,5.70E-09,4.39E-09,3.76E-09,6.40E-10,4.76E-10,1.03E-09
317,TraesCS5A02G079000,chr5A,98033187,98038076,1.33E-18,1.34E-18,4.31E-19,4.50E-10,3.28E-10,8.25E-11
318,TraesCS5A02G079100,chr5A,98429421,98430514,1.33E-15,1.74E-15,7.65E-16,0.000271511,8.94E-06,1.90E-05
319,TraesCS5A02G079400,chr5A,98450806,98455552,2.19E-12,2.35E-12,3.63E-13,1.20E-07,6.19E-07,1.27E-07
320,TraesCS5A02G079500,chr5A,98976678,98982449,0.000355275,2.62E-05,7.06E-05,NA,NA,NA
321,TraesCS5A02G079600,chr5A,99018594,99023963,2.54E-07,7.24E-07,3.54E-08,2.34E-10,5.01E-08,8.83E-10
322,TraesCS5A02G079800,chr5A,99415896,99423962,1.02E-14,1.69E-14,9.72E-15,2.19E-07,1.33E-07,5.91E-07
323,TraesCS5A02G079900,chr5A,99553275,99556313,0.00017288,0.000338365,2.53E-05,0.000882159,0.001320383,0.001195654
324,TraesCS5A02G080300,chr5A,100618093,100620981,5.22E-19,2.51E-20,3.76E-21,3.32E-10,2.40E-07,2.01E-10
325,TraesCS5A02G081400,chr5A,104616575,104637890,5.28E-10,7.03E-10,1.52E-10,6.69E-07,2.23E-07,5.13E-07
326,TraesCS5A02G081600,chr5A,105415268,105417355,1.65E-06,1.86E-06,3.10E-07,0.000688614,0.000565374,0.000357685
327,TraesCS5A02G081700,chr5A,105685864,105689676,7.70E-14,5.07E-14,9.72E-15,1.19E-10,6.15E-09,3.85E-09
328,TraesCS5A02G081800,chr5A,105689737,105696121,2.81E-05,8.99E-05,4.17E-06,1.59E-07,1.02E-06,2.69E-07
329,TraesCS5A02G081900,chr5A,106144470,106145561,3.41E-10,6.95E-10,1.63E-09,2.24E-06,4.26E-07,2.10E-06
330,TraesCS5A02G082000,chr5A,106146185,106148506,2.39E-12,3.86E-12,2.76E-13,3.96E-09,1.29E-09,8.73E-10
331,TraesCS5A02G082100,chr5A,106164115,106167428,1.74E-05,8.49E-06,1.68E-06,0.002462917,0.000238493,0.004555063
332,TraesCS5A02G082200,chr5A,106357105,106362354,3.95E-06,1.28E-06,6.33E-07,6.29E-06,6.54E-05,1.09E-05
333,TraesCS5A02G082300,chr5A,106728562,106732017,1.76E-07,9.63E-08,3.66E-08,0.000196485,0.001082589,0.000151319
334,TraesCS5A02G082600,chr5A,107387319,107393508,4.17E-31,1.28E-29,5.93E-33,6.07E-27,1.04E-26,7.47E-26
335,TraesCS5A02G082700,chr5A,107444890,107446232,4.78E-15,3.74E-14,2.94E-15,6.12E-10,1.17E-09,1.61E-10
336,TraesCS5A02G082800,chr5A,108279551,108281446,1.24E-138,5.23E-134,1.23E-140,4.12E-106,1.77E-114,4.64E-105
337,TraesCS5A02G083100,chr5A,109278949,109280355,0.00096346,0.005584403,0.004824093,NA,NA,NA
338,TraesCS5A02G083200,chr5A,109281401,109291360,2.55E-07,6.31E-08,6.23E-08,2.83E-08,2.91E-08,1.39E-08
339,TraesCS5A02G083300,chr5A,109293763,109298561,0.002846791,0.001572538,0.001090572,NA,NA,NA
340,TraesCS5A02G083400,chr5A,109300931,109301137,1.42E-06,1.96E-07,1.65E-07,6.71E-06,0.000488138,3.71E-05
341,TraesCS5A02G083600,chr5A,109335524,109343348,2.78E-08,7.52E-08,8.19E-08,3.52E-06,3.22E-06,2.27E-06
342,TraesCS5A02G084100,chr5A,109950488,109954077,0.001642397,0.000961135,0.007181941,NA,NA,NA
343,TraesCS5A02G084500,chr5A,110362002,110371109,2.09E-29,9.63E-32,3.35E-34,6.46E-10,1.85E-09,4.62E-10
344,TraesCS5A02G084600,chr5A,110371742,110374535,1.92E-12,5.60E-12,2.50E-12,1.32E-08,1.78E-09,2.74E-09
345,TraesCS5A02G084700,chr5A,110377966,110382892,4.85E-95,4.43E-94,1.09E-85,1.82E-56,7.52E-58,1.53E-53
346,TraesCS5A02G084800,chr5A,110662048,110671233,5.92E-11,1.09E-11,4.16E-12,8.24E-12,1.37E-10,2.26E-11
347,TraesCS5A02G085000,chr5A,111588730,111590895,4.63E-06,0.000596166,2.83E-05,2.99E-09,1.63E-07,1.41E-08
348,TraesCS5A02G085100,chr5A,111609801,111621356,2.43E-07,1.07E-07,5.18E-08,NA,NA,NA
349,TraesCS5A02G085200,chr5A,111623081,111627719,1.46E-10,1.27E-11,1.79E-10,0.00094918,2.59E-05,3.37E-05
350,TraesCS5A02G085300,chr5A,112094018,112098524,2.43E-07,1.96E-07,5.13E-08,6.90E-10,7.64E-09,7.18E-10
351,TraesCS5A02G085700,chr5A,113601170,113611878,2.43E-07,7.19E-08,1.67E-08,3.58E-09,1.72E-07,3.15E-09
352,TraesCS5A02G085800,chr5A,113717956,113722353,4.04E-12,1.70E-12,5.54E-12,4.91E-11,5.16E-11,1.09E-10
353,TraesCS5A02G085900,chr5A,113796642,113804304,2.00E-06,1.75E-06,7.54E-07,6.22E-06,3.68E-06,1.31E-06
354,TraesCS5A02G086100,chr5A,114703539,114716474,3.54E-12,1.02E-11,2.50E-12,4.64E-10,1.68E-09,1.89E-10
355,TraesCS5A02G086300,chr5A,115019750,115025548,1.08E-05,1.34E-05,6.38E-05,NA,NA,NA
356,TraesCS5A02G086400,chr5A,115025641,115029304,1.16E-06,6.05E-07,1.57E-07,3.89E-06,2.63E-06,1.44E-05
357,TraesCS5A02G086500,chr5A,115092374,115098386,1.17E-06,1.45E-07,5.33E-07,1.38E-06,1.88E-07,1.42E-05
358,TraesCS5A02G086600,chr5A,115248773,115249747,2.88E-17,8.40E-18,1.45E-17,2.65E-07,7.09E-07,1.27E-08
359,TraesCS5A02G086700,chr5A,115616309,115619635,4.72E-08,7.52E-08,2.33E-08,0.000124759,0.000208288,5.35E-05
360,TraesCS5A02G086900,chr5A,115663124,115679946,1.21E-16,1.64E-16,1.71E-16,4.63E-14,6.20E-13,1.01E-15
361,TraesCS5A02G087200,chr5A,116571002,116574434,6.33E-06,5.91E-06,2.30E-05,NA,NA,NA
362,TraesCS5A02G087300,chr5A,116573780,116582100,1.07E-07,1.53E-07,1.32E-08,2.14E-08,1.32E-08,5.54E-09
363,TraesCS5A02G087400,chr5A,116584702,116587352,0.000107413,0.000129323,8.73E-06,NA,NA,NA
364,TraesCS5A02G087600,chr5A,117388579,117389997,0.001582085,0.002438994,0.00029064,NA,NA,NA
365,TraesCS5A02G087700,chr5A,117494219,117498136,5.62E-10,2.15E-10,2.51E-10,7.58E-07,1.68E-07,2.04E-07
366,TraesCS5A02G088100,chr5A,118660941,118666124,4.96E-11,5.44E-11,4.43E-11,4.31E-12,4.92E-11,7.43E-12
367,TraesCS5A02G088200,chr5A,118666430,118669510,5.59E-21,1.99E-20,8.19E-22,2.78E-13,7.50E-14,3.15E-14
368,TraesCS5A02G088300,chr5A,118670272,118671484,2.80E-186,2.02E-186,2.92E-184,6.12E-131,6.02E-120,4.64E-123
369,TraesCS5A02G088400,chr5A,118757534,118762484,1.21E-27,1.26E-29,1.12E-31,1.25E-25,4.52E-33,1.16E-23
370,TraesCS5A02G088700,chr5A,119030746,119032146,0.001374636,0.000344315,0.003082678,NA,NA,NA
371,TraesCS5A02G088800,chr5A,119065650,119066164,0.003774483,0.000243494,0.005437514,NA,NA,NA
372,TraesCS5A02G088900,chr5A,119216613,119218470,2.96E-08,3.76E-08,2.00E-08,4.48E-09,1.03E-08,9.84E-10
373,TraesCS5A02G089200,chr5A,119438999,119442370,4.33E-21,1.12E-20,1.08E-21,9.54E-15,1.00E-13,1.89E-14
374,TraesCS5A02G089300,chr5A,119542510,119546038,0.004108737,0.001794714,0.00032976,NA,NA,NA
375,TraesCS5A02G089400,chr5A,119572065,119574931,8.36E-06,4.29E-06,3.00E-05,NA,NA,NA
376,TraesCS5A02G089900,chr5A,120745630,120753412,4.71E-11,4.68E-11,3.90E-11,7.40E-07,1.65E-06,1.28E-06
377,TraesCS5A02G090000,chr5A,121113313,121119263,1.69E-08,2.46E-08,4.62E-09,NA,NA,NA
378,TraesCS5A02G090100,chr5A,121408816,121415147,0.00149043,0.005579803,0.001717072,0.000153836,0.000577441,0.000112025
379,TraesCS5A02G090200,chr5A,121416342,121420830,1.69E-08,8.57E-09,9.35E-10,1.37E-06,6.10E-07,6.53E-07
380,TraesCS5A02G090400,chr5A,122328543,122332786,1.23E-27,7.06E-27,7.61E-29,1.10E-15,2.41E-16,2.59E-16
381,TraesCS5A02G090500,chr5A,122953651,122958048,3.49E-12,8.90E-12,3.53E-12,6.32E-09,2.14E-10,3.38E-10
382,TraesCS5A02G090800,chr5A,123708094,123713351,2.22E-05,2.16E-05,5.92E-06,2.14E-08,3.33E-07,1.63E-08
383,TraesCS5A02G091000,chr5A,125143323,125148966,0.000330086,0.00036535,0.00618732,NA,NA,NA
384,TraesCS5A02G091200,chr5A,125832013,125843115,3.60E-16,6.13E-17,1.67E-17,1.00E-12,6.03E-13,2.30E-12
385,TraesCS5A02G091400,chr5A,126264829,126272945,0.004213341,0.004842804,0.001080504,NA,NA,NA
386,TraesCS5A02G091500,chr5A,126273046,126276333,1.49E-09,4.59E-09,1.76E-09,1.37E-16,1.56E-15,1.52E-16
387,TraesCS5A02G091600,chr5A,126301349,126303637,0.000294759,0.00091424,0.002469397,4.72E-05,9.02E-06,3.02E-05
388,TraesCS5A02G091800,chr5A,126692743,126698347,4.71E-11,3.37E-11,2.68E-13,9.92E-07,1.24E-06,7.20E-08
389,TraesCS5A02G092000,chr5A,127519647,127532759,8.81E-13,1.09E-12,6.24E-13,1.16E-08,1.32E-08,2.05E-08
390,TraesCS5A02G092400,chr5A,127610679,127615490,1.12E-33,6.88E-33,1.62E-29,5.12E-21,5.71E-19,1.51E-19
391,TraesCS5A02G092500,chr5A,127979166,127987331,1.32E-47,3.78E-49,7.59E-52,1.12E-43,2.40E-40,1.67E-43
392,TraesCS5A02G092600,chr5A,128426141,128430244,0.005922343,0.000164977,8.96E-06,NA,NA,NA
393,TraesCS5A02G092700,chr5A,128430923,128440498,0.001312837,0.000303678,0.000110965,NA,NA,NA
394,TraesCS5A02G092900,chr5A,129110914,129117223,0.001873079,9.64E-05,0.000266202,NA,NA,NA
395,TraesCS5A02G093000,chr5A,129275726,129276631,2.12E-16,6.22E-16,7.07E-16,6.16E-13,9.92E-13,2.13E-13
396,TraesCS5A02G093100,chr5A,129596748,129599560,1.71E-08,7.74E-09,8.22E-09,1.02E-07,9.31E-07,3.62E-07
397,TraesCS5A02G093200,chr5A,129599637,129604460,1.30E-21,8.66E-26,7.57E-21,2.25E-09,3.47E-13,4.33E-10
398,TraesCS5A02G093300,chr5A,129605898,129609876,1.57E-15,1.01E-15,1.17E-16,6.28E-09,1.80E-10,2.07E-09
399,TraesCS5A02G093500,chr5A,129749353,129750835,3.51E-07,1.37E-05,3.80E-07,6.35E-14,1.75E-12,4.31E-13
400,TraesCS5A02G093600,chr5A,130083471,130087583,0.006613069,0.001321428,0.005429282,NA,NA,NA
401,TraesCS5A02G093700,chr5A,130088479,130098402,6.15E-06,7.30E-08,3.94E-09,8.50E-07,1.64E-07,2.77E-08
402,TraesCS5A02G093800,chr5A,130122282,130123585,1.69E-08,3.60E-08,2.99E-08,5.40E-08,3.73E-08,1.02E-07
403,TraesCS5A02G093900,chr5A,130127074,130134965,4.33E-21,5.60E-21,4.35E-22,6.06E-09,7.49E-09,5.06E-09
404,TraesCS5A02G094000,chr5A,130136634,130141449,1.36E-08,7.86E-09,2.96E-09,1.34E-09,3.19E-09,3.21E-10
405,TraesCS5A02G094100,chr5A,130142218,130146966,7.70E-14,2.63E-14,1.09E-16,1.54E-09,4.50E-09,1.33E-11
406,TraesCS5A02G094300,chr5A,130528868,130536567,1.97E-17,4.07E-17,3.90E-18,2.34E-22,1.57E-20,6.85E-22
407,TraesCS5A02G094400,chr5A,130536680,130542616,3.59E-09,2.42E-09,1.36E-09,8.88E-08,1.70E-07,6.73E-08
408,TraesCS5A02G095000,chr5A,132095090,132099793,6.13E-09,4.37E-09,1.52E-09,6.46E-09,5.58E-09,2.07E-09
409,TraesCS5A02G095100,chr5A,132101150,132105772,6.04E-12,8.21E-12,7.09E-13,1.59E-08,2.70E-08,4.86E-09
410,TraesCS5A02G095400,chr5A,132963725,132969809,9.82E-07,1.05E-06,1.01E-06,8.88E-07,6.06E-07,1.70E-06
411,TraesCS5A02G095800,chr5A,134084115,134091164,1.42E-06,4.00E-06,2.28E-07,8.97E-07,4.62E-06,1.01E-07
412,TraesCS5A02G095900,chr5A,134090361,134093487,2.95E-16,3.35E-15,2.14E-15,1.42E-09,3.68E-09,9.43E-10
413,TraesCS5A02G096000,chr5A,134095257,134097819,6.03E-05,4.64E-05,1.91E-09,0.000166889,0.000167299,2.20E-09
414,TraesCS5A02G096100,chr5A,135056992,135060622,2.00E-13,2.49E-13,3.10E-13,3.06E-11,1.49E-11,2.21E-11
415,TraesCS5A02G096400,chr5A,135534701,135551569,1.40E-08,1.07E-07,4.88E-09,1.57E-07,7.72E-09,8.82E-08
416,TraesCS5A02G096500,chr5A,136388628,136392816,1.74E-09,1.22E-09,1.41E-09,3.31E-09,3.26E-09,2.17E-09
417,TraesCS5A02G096700,chr5A,136398120,136402458,2.25E-10,2.71E-10,3.70E-10,2.02E-08,1.29E-08,2.25E-08
418,TraesCS5A02G096800,chr5A,136403316,136407232,6.63E-12,1.97E-11,3.61E-12,6.20E-06,3.11E-06,3.27E-06
419,TraesCS5A02G097100,chr5A,137275955,137279506,9.31E-08,1.17E-08,1.81E-09,8.55E-06,1.26E-06,5.33E-07
420,TraesCS5A02G097700,chr5A,139071440,139071941,1.52E-05,1.47E-05,8.82E-07,NA,NA,NA
421,TraesCS5A02G097800,chr5A,139078354,139083947,7.34E-05,7.31E-05,0.000155572,0.000130204,2.46E-05,1.59E-05
